timestamp,bot,minor,user,domain,old_length,new_length,length_diff,length_diff_percent
1726188906.0,True,,JJMC89 bot III,en.wikipedia.org,,,,
1726188914.0,True,False,Twofivesixbot,www.wikidata.org,27159.0,25398.0,-1761.0,-6.484038440296034
1726188914.0,False,,Clovermoss,en.wikipedia.org,,,,
1726188915.0,False,False,DrThneed,www.wikidata.org,7730.0,8533.0,803.0,10.38809831824062
1726188914.0,False,False,BeSerious9020,en.wikipedia.org,57816.0,57812.0,-4.0,-0.006918500069185
1726188915.0,True,True,OrlodrimBot,fr.wikipedia.org,1818.0,43.0,-1775.0,-97.63476347634764
1726188915.0,False,False,Pnjpowder,fa.wikipedia.org,,1108.0,,
1726188914.0,False,False,76.158.90.223,en.wikipedia.org,6286.0,6299.0,13.0,0.2068087814190264
1726188914.0,False,False,IdeasMagnet,www.wikidata.org,16429.0,16422.0,-7.0,-0.0426075841499786
1726188911.0,False,,M4V3R1CK32,en.wikipedia.org,,,,
1726188914.0,False,False,Jrooster49,en.wikipedia.org,3046.0,3046.0,0.0,0.0
1726188913.0,False,False,LordTort,en.wikipedia.org,24611.0,25280.0,669.0,2.718296696599082
1726188915.0,True,False,Emijrpbot,commons.wikimedia.org,6238.0,7855.0,1617.0,25.921769798012186
1726188911.0,False,,M4V3R1CK32,en.wikipedia.org,,,,
1726188914.0,True,,BadzilBot,commons.wikimedia.org,,,,
1726188915.0,False,True,Godsfriendchuck,commons.wikimedia.org,341.0,343.0,2.0,0.5865102639296188
1726188915.0,True,False,BotMultichillT,commons.wikimedia.org,632.0,4288.0,3656.0,578.4810126582278
1726188915.0,True,False,CuratorBot,commons.wikimedia.org,7166.0,8908.0,1742.0,24.30923806865755
1726188916.0,False,False,DrThneed,www.wikidata.org,6972.0,7775.0,803.0,11.517498565691335
1726188916.0,False,,Yunus Emre Sürücü,tr.wiktionary.org,,,,
1726188914.0,False,,Waraka Saki,bn.wikipedia.org,,,,
1726188888.0,False,False,Quesotiotyo,www.wikidata.org,6779.0,7131.0,352.0,5.192506269361263
1726188885.0,True,True,JJMC89 bot III,en.wikipedia.org,14910.0,14910.0,0.0,0.0
1726188889.0,False,False,DrThneed,www.wikidata.org,12501.0,13305.0,804.0,6.431485481161507
1726188888.0,True,True,BadzilBot,commons.wikimedia.org,8651.0,8693.0,42.0,0.4854930065888336
1726188883.0,False,,Poti Berik,uk.wikipedia.org,,,,
1726188889.0,False,False,IdeasMagnet,www.wikidata.org,24456.0,24449.0,-7.0,-0.0286228328426562
1726188886.0,False,False,190.43.154.162,es.wikipedia.org,21235.0,21183.0,-52.0,-0.2448787379326583
1726188889.0,False,False,Quesotiotyo,www.wikidata.org,6911.0,7263.0,352.0,5.093329474750398
1726188888.0,True,False,Twofivesixbot,www.wikidata.org,26258.0,24497.0,-1761.0,-6.706527534465686
1726188889.0,False,False,Albertoleoncio,www.wikidata.org,10660.0,11080.0,420.0,3.9399624765478425
1726188887.0,False,False,Ysrael214,en.wiktionary.org,1088.0,1107.0,19.0,1.7463235294117647
1726188886.0,False,,Smasongarrison,en.wikipedia.org,,,,
1726188886.0,False,False,2600:4040:1265:4200:8D0:ED59:80B5:9328,en.wikipedia.org,10383.0,10361.0,-22.0,-0.2118848117114514
1726188889.0,True,False,InternetArchiveBot,sv.wikipedia.org,2646.0,2779.0,133.0,5.026455026455026
1726188878.0,False,False,LeninVtumane,ru.wikipedia.org,237297.0,237328.0,31.0,0.0130637976881292
1726188889.0,True,False,Leaderbot,commons.wikimedia.org,3655.0,3655.0,0.0,0.0
1726188889.0,True,False,Emijrpbot,commons.wikimedia.org,3324.0,4944.0,1620.0,48.73646209386281
1726188890.0,False,False,SetteTreSette,www.wikidata.org,544.0,679.0,135.0,24.81617647058824
1726188888.0,True,,BadzilBot,commons.wikimedia.org,,,,
1726188890.0,False,,24.206.69.91,www.wikidata.org,,,,
1726188889.0,False,False,DrThneed,www.wikidata.org,7756.0,8559.0,803.0,10.353274883960804
1726188887.0,False,True,Lepricavark,en.wikipedia.org,4549.0,4587.0,38.0,0.8353484282259837
1726188889.0,False,False,Quesotiotyo,www.wikidata.org,6361.0,6713.0,352.0,5.533721113032542
1726188890.0,False,False,24.206.69.91,www.wikidata.org,54660.0,55110.0,450.0,0.823271130625686
1726188889.0,True,True,BadzilBot,commons.wikimedia.org,8651.0,8693.0,42.0,0.4854930065888336
1726188890.0,False,False,IdeasMagnet,www.wikidata.org,22090.0,22082.0,-8.0,-0.0362154821186057
1726188890.0,True,False,Emijrpbot,commons.wikimedia.org,4909.0,5721.0,812.0,16.541047056426972
1726188889.0,False,True,Godsfriendchuck,commons.wikimedia.org,417.0,469.0,52.0,12.470023980815348
1726188891.0,False,,Muhammad Oukkasyah,id.wikipedia.org,,,,
1726188885.0,False,False,211.1.73.194,ja.wikipedia.org,162459.0,162463.0,4.0,0.0024621596833662
1726188890.0,False,False,BigAce17,en.wikipedia.org,76.0,117.0,41.0,53.94736842105263
1726188889.0,True,False,Emijrpbot,commons.wikimedia.org,4138.0,5757.0,1619.0,39.12518124697922
1726188889.0,True,False,Twofivesixbot,www.wikidata.org,26008.0,24247.0,-1761.0,-6.770993540449092
1726188890.0,False,False,Muhammad Oukkasyah,id.wikipedia.org,1165.0,1194.0,29.0,2.4892703862660945
1726188889.0,False,True,HwætGrimmalkin,commons.wikimedia.org,9731.0,9792.0,61.0,0.6268626040489158
1726188890.0,False,False,DrThneed,www.wikidata.org,7713.0,8516.0,803.0,10.410994424996758
1726188890.0,False,False,Quesotiotyo,www.wikidata.org,6726.0,7078.0,352.0,5.233422539399346
1726188890.0,True,False,BotMultichillT,commons.wikimedia.org,657.0,4313.0,3656.0,556.468797564688
1726188889.0,True,,BadzilBot,commons.wikimedia.org,,,,
1726188890.0,False,,Scann,commons.wikimedia.org,,,,
